AR,CF90 Cassette Round Front Cream,"=IF(AND('Tube Cutting'!K11=""Cream"",(OR('Tube Cutting'!J11=""Round Cassette"",'Tube Cutting'!J11=""Round Cassette with Side Channels"",'Tube Cutting'!J11=""Round Cassette with Side & Bottom Channels""))),'Tube Cutting'!M11,"""")"
AS,CF90 Cassette Round Front Anodised Silver,"=IF(AND('Tube Cutting'!K11=""Anodised Silver"",(OR('Tube Cutting'!J11=""Round Cassette"",'Tube Cutting'!J11=""Round Cassette with Side Channels"",'Tube Cutting'!J11=""Round Cassette with Side & Bottom Channels""))),'Tube Cutting'!M11,"""")"
AT,CF90 Cassette Side Guide White,"=IF(AND('Tube Cutting'!K11=""White"",(OR('Tube Cutting'!J11=""Square Cassette with Side Channels"",'Tube Cutting'!J11=""Round Cassette with Side Channels"",'Tube Cutting'!J11=""Side Channels""))),CONCATENATE('Job Sheet'!H11-VLOOKUP(CONCATENATE('Job Sheet'!AA11,'Job Sheet'!J11,'Job Sheet'!AR11),PelmetDeduct,5,FALSE))*2,IF(AND('Tube Cutting'!K11=""White"",(OR('Tube Cutting'!J11=""Square Cassette with Side & Bottom Channels"",'Tube Cutting'!J11=""Round Cassette with Side & Bottom Channels""))),CONCATENATE(('Job Sheet'!H11-VLOOKUP(CONCATENATE('Job Sheet'!AA11,'Job Sheet'!J11,'Job Sheet'!AR11),PelmetDeduct,5,FALSE))*2)+'Job Sheet'!BA11-110,""""))"
AU,CF90 Cassette Side Guide Black,"=IF(AND('Tube Cutting'!K11=""Black"",(OR('Tube Cutting'!J11=""Square Cassette with Side Channels"",'Tube Cutting'!J11=""Round Cassette with Side Channels"",'Tube Cutting'!J11=""Side Channels""))),CONCATENATE('Job Sheet'!H11-VLOOKUP(CONCATENATE('Job Sheet'!AA11,'Job Sheet'!J11,'Job Sheet'!AR11),PelmetDeduct,5,FALSE))*2,IF(AND('Tube Cutting'!K11=""Black"",(OR('Tube Cutting'!J11=""Square Cassette with Side & Bottom Channels"",'Tube Cutting'!J11=""Round Cassette with Side & Bottom Channels""))),CONCATENATE(('Job Sheet'!H11-VLOOKUP(CONCATENATE('Job Sheet'!AA11,'Job Sheet'!J11,'Job Sheet'!AR11),PelmetDeduct,5,FALSE))*2)+'Job Sheet'!BA11-110,""""))"
AV,CF90 Cassette Side Guide Cream,"=IF(AND('Tube Cutting'!K11=""Cream"",(OR('Tube Cutting'!J11=""Square Cassette with Side Channels"",'Tube Cutting'!J11=""Round Cassette with Side Channels"",'Tube Cutting'!J11=""Side Channels""))),CONCATENATE('Job Sheet'!H11-VLOOKUP(CONCATENATE('Job Sheet'!AA11,'Job Sheet'!J11,'Job Sheet'!AR11),PelmetDeduct,5,FALSE))*2,IF(AND('Tube Cutting'!K11=""Cream"",(OR('Tube Cutting'!J11=""Square Cassette with Side & Bottom Channels"",'Tube Cutting'!J11=""Round Cassette with Side & Bottom Channels""))),CONCATENATE(('Job Sheet'!H11-VLOOKUP(CONCATENATE('Job Sheet'!AA11,'Job Sheet'!J11,'Job Sheet'!AR11),PelmetDeduct,5,FALSE))*2)+'Job Sheet'!BA11-110,""""))"
AW,CF90 Cassette Side Guide Anodised Silver,"=IF(AND('Tube Cutting'!K11=""Anodised Silver"",(OR('Tube Cutting'!J11=""Square Cassette with Side Channels"",'Tube Cutting'!J11=""Round Cassette with Side Channels"",'Tube Cutting'!J11=""Side Channels""))),CONCATENATE('Job Sheet'!H11-VLOOKUP(CONCATENATE('Job Sheet'!AA11,'Job Sheet'!J11,'Job Sheet'!AR11),PelmetDeduct,5,FALSE))*2,IF(AND('Tube Cutting'!K11=""Anodised Silver"",(OR('Tube Cutting'!J11=""Square Cassette with Side & Bottom Channels"",'Tube Cutting'!J11=""Round Cassette with Side & Bottom Channels""))),CONCATENATE(('Job Sheet'!H11-VLOOKUP(CONCATENATE('Job Sheet'!AA11,'Job Sheet'!J11,'Job Sheet'!AR11),PelmetDeduct,5,FALSE))*2)+'Job Sheet'!BA11-110,""""))"
AX,Aluminium Valance - Fabric Covered (Any Colour),"=IF('Tube Cutting'!J11=""Aluminium Valance - Fabric Covered"",'Tube Cutting'!M11,"""")"
AY,Aluminium Valance - White,"=IF(AND('Tube Cutting'!K11=""White"",'Tube Cutting'!J11=""Aluminium Valance""),'Tube Cutting'!M11,"""")"
AZ,Aluminium Valance - Black,"=IF(AND('Tube Cutting'!K11=""Black"",'Tube Cutting'!J11=""Aluminium Valance""),'Tube Cutting'!M11,"""")"
BA,Aluminium Valance - Anodised Silver,"=IF(AND('Tube Cutting'!K11=""Anodised Silver"",'Tube Cutting'!J11=""Aluminium Valance""),'Tube Cutting'!M11,"""")"
BB,Mounting Rail,='Tube Cutting'!O11
BC,Box 120 Back,"=IF('Tube Cutting'!J11=""Zipscreen Hooding"",'Tube Cutting'!L11,"""")"
BD,Box 120 Cover,"=IF('Tube Cutting'!J11=""Zipscreen Hooding"",'Tube Cutting'!M11,"""")"
BE,38mm Chain Winder White,"=IF(AND('Assembly(b)'!E11=""38mm"",'Job Sheet'!BE11=""White"",'Assembly(b)'!F11=""Chain Winder""),1,"""")"
BF,38mm Chain Winder Black,"=IF(AND('Assembly(b)'!E11=""38mm"",'Job Sheet'!BE11=""Black"",'Assembly(b)'!F11=""Chain Winder""),1,"""")"
BG,38mm Chain Winder Birch White,"=IF(AND('Assembly(b)'!E11=""38mm"",'Job Sheet'!BE11=""Birch White"",'Job Sheet'!L11=""Chain Winder""),1,"""")"
BH,38mm Chain Winder Grey,"=IF(AND('Assembly(b)'!E11=""38mm"",'Job Sheet'!BE11=""Grey"",'Assembly(b)'!F11=""Chain Winder""),1,"""")"
BI,38mm Chain Winder Barley,"=IF(AND('Assembly(b)'!E11=""38mm"",'Job Sheet'!BE11=""Beige"",'Assembly(b)'!F11=""Chain Winder""),1,"""")"
BJ,38mm Fixed Guide Chain Winder White,"=IF(AND('Assembly(b)'!E11=""38mm"",'Job Sheet'!BE11=""White"",'Assembly(b)'!F11=""Chain Winder Fixed Guide""),1,"""")"
BK,38mm Fixed Guide Chain Winder Black,"=IF(AND('Assembly(b)'!E11=""38mm"",'Job Sheet'!BE11=""Black"",'Assembly(b)'!F11=""Chain Winder Fixed Guide""),1,"""")"
BL,38mm Fixed Guide Chain Winder Birch White,"=IF(AND('Assembly(b)'!E11=""38mm"",'Job Sheet'!BE11=""Birch White"",'Assembly(b)'!F11=""Chain Winder Fixed Guide""),1,"""")"
BM,38mm Fixed Guide Chain Winder Grey,"=IF(AND('Assembly(b)'!E11=""38mm"",'Job Sheet'!BE11=""Grey"",'Assembly(b)'!F11=""Chain Winder Fixed Guide""),1,"""")"
BN,38mm Fixed Guide Chain Winder Beige,"=IF(AND('Assembly(b)'!E11=""38mm"",'Job Sheet'!BE11=""Beige"",'Assembly(b)'!F11=""Chain Winder Fixed Guide""),1,"""")"
BO,43mm Chain Winder White,"=IF(AND('Job Sheet'!BE11=""White"",'Assembly(b)'!F11=""Chain Winder"",(OR('Assembly(b)'!E11=""43mm"",'Assembly(b)'!E11=""43mm H/D""))),1,"""")"
BP,43mm Chain Winder Black,"=IF(AND('Job Sheet'!BE11=""Black"",'Assembly(b)'!F11=""Chain Winder"",(OR('Assembly(b)'!E11=""43mm"",'Assembly(b)'!E11=""43mm H/D""))),1,"""")"
BQ,43mm Chain Winder Birch White,"=IF(AND('Job Sheet'!BE11=""Birch White"",'Assembly(b)'!F11=""Chain Winder"",(OR('Assembly(b)'!E11=""43mm"",'Assembly(b)'!E11=""43mm H/D""))),1,"""")"
BR,43mm Chain Winder Grey,"=IF(AND('Job Sheet'!BE11=""Grey"",'Assembly(b)'!F11=""Chain Winder"",(OR('Assembly(b)'!E11=""43mm"",'Assembly(b)'!E11=""43mm H/D""))),1,"""")"
BS,43mm Chain Winder Beige,"=IF(AND('Job Sheet'!BE11=""Beige"",'Assembly(b)'!F11=""Chain Winder"",(OR('Assembly(b)'!E11=""43mm"",'Assembly(b)'!E11=""43mm H/D""))),1,"""")"
BT,43mm Fixed Guide Chain Winder White,"=IF(AND('Job Sheet'!BE11=""White"",'Assembly(b)'!F11=""Chain Winder Fixed Guide"",(OR('Assembly(b)'!E11=""43mm"",'Assembly(b)'!E11=""43mm H/D""))),1,"""")"
BU,43mm Fixed Guide Chain Winder Black,"=IF(AND('Job Sheet'!BE11=""Black"",'Assembly(b)'!F11=""Chain Winder Fixed Guide"",(OR('Assembly(b)'!E11=""43mm"",'Assembly(b)'!E11=""43mm H/D""))),1,"""")"
BV,43mm Fixed Guide Chain Winder Birch White,"=IF(AND('Job Sheet'!BE11=""Birch White"",'Assembly(b)'!F11=""Chain Winder Fixed Guide"",(OR('Assembly(b)'!E11=""43mm"",'Assembly(b)'!E11=""43mm H/D""))),1,"""")"
BW,43mm Fixed Guide Chain Winder Grey,"=IF(AND('Job Sheet'!BE11=""Grey"",'Assembly(b)'!F11=""Chain Winder Fixed Guide"",(OR('Assembly(b)'!E11=""43mm"",'Assembly(b)'!E11=""43mm H/D""))),1,"""")"
BX,43mm Fixed Guide Chain Winder Beige,"=IF(AND('Job Sheet'!BE11=""Beige"",'Assembly(b)'!F11=""Chain Winder Fixed Guide"",(OR('Assembly(b)'!E11=""43mm"",'Assembly(b)'!E11=""43mm H/D""))),1,"""")"
BY,43mm Idles White,"=IF(Data!AV11="""","""",IF(AND('Job Sheet'!BE11=""White"",VLOOKUP('Job Sheet'!AR11,ControlDeduct,3,FALSE)=""Yes""),1,""""))"
BZ,43mm Idles Black,"=IF(Data!AV11="""","""",IF(AND('Job Sheet'!BE11=""Black"",VLOOKUP('Job Sheet'!AR11,ControlDeduct,3,FALSE)=""Yes""),1,""""))"
CA,43mm Idles Birch White,"=IF(Data!AV11="""","""",IF(AND('Job Sheet'!BE11=""Birch White"",VLOOKUP('Job Sheet'!AR11,ControlDeduct,3,FALSE)=""Yes""),1,""""))"
CB,43mm Idles Grey,"=IF(Data!AV11="""","""",IF(AND('Job Sheet'!BE11=""Grey"",VLOOKUP('Job Sheet'!AR11,ControlDeduct,3,FALSE)=""Yes""),1,""""))"
CC,43mm Idles Barley,"=IF(Data!AV11="""","""",IF(AND('Job Sheet'!BE11=""Beige"",VLOOKUP('Job Sheet'!AR11,ControlDeduct,3,FALSE)=""Yes""),1,""""))"
CD,40mm Bracket White,"=IF(AND('Job Sheet'!BE11=""White"",(OR(Bagging!D11=""Single"",Bagging!D11=""Single with Covers"",Bagging!D11=""Single & Single Linked""))),1,"""")"
CE,40mm Bracket Black,"=IF(AND('Job Sheet'!BE11=""Black"",(OR(Bagging!D11=""Single"",Bagging!D11=""Single with Covers"",Bagging!D11=""Single & Single Linked""))),1,"""")"
CF,40mm Bracket Birch White,"=IF(AND('Job Sheet'!BE11=""Birch White"",(OR(Bagging!D11=""Single"",Bagging!D11=""Single with Covers"",Bagging!D11=""Single & Single Linked""))),1,"""")"
CG,40mm Bracket Grey,"=IF(AND('Job Sheet'!BE11=""Grey"",(OR(Bagging!D11=""Single"",Bagging!D11=""Single with Covers"",Bagging!D11=""Single & Single Linked""))),1,"""")"
CH,40mm Bracket Barley,"=IF(AND('Job Sheet'!BE11=""Beige"",(OR(Bagging!D11=""Single"",Bagging!D11=""Single with Covers"",Bagging!D11=""Single & Single Linked""))),1,"""")"
CI,55mm Bracket White,"=IF(AND('Job Sheet'!BE11=""White"",(OR(Bagging!D11=""Single Extension"",Bagging!D11=""Single Extension with Extension Covers"",Bagging!D11=""Single Extension & Single Extension Linked"",Bagging!D11=""Single Extension with Extension Covers & Single Extension Linked""))),1,"""")"
CJ,55mm Bracket Black,"=IF(AND('Job Sheet'!BE11=""Black"",(OR(Bagging!D11=""Single Extension"",Bagging!D11=""Single Extension with Extension Covers"",Bagging!D11=""Single Extension & Single Extension Linked"",Bagging!D11=""Single Extension with Extension Covers & Single Extension Linked""))),1,"""")"
CK,55mm Bracket Birch White,"=IF(AND('Job Sheet'!BE11=""Birch White"",(OR(Bagging!D11=""Single Extension"",Bagging!D11=""Single Extension with Extension Covers"",Bagging!D11=""Single Extension & Single Extension Linked"",Bagging!D11=""Single Extension with Extension Covers & Single Extension Linked""))),1,"""")"
CL,55mm Bracket Grey,"=IF(AND('Job Sheet'!BE11=""Grey"",(OR(Bagging!D11=""Single Extension"",Bagging!D11=""Single Extension with Extension Covers"",Bagging!D11=""Single Extension & Single Extension Linked"",Bagging!D11=""Single Extension with Extension Covers & Single Extension Linked""))),1,"""")"
CM,55mm Bracket Beige,"=IF(AND('Job Sheet'!BE11=""Beige"",(OR(Bagging!D11=""Single Extension"",Bagging!D11=""Single Extension with Extension Covers"",Bagging!D11=""Single Extension & Single Extension Linked"",Bagging!D11=""Single Extension with Extension Covers & Single Extension Linked""))),1,"""")"
CN,40mm Motor Bracket White,"=IF(AND('Job Sheet'!BE11=""White"",(OR(Bagging!D11=""Single Motor Brackets"",Bagging!D11=""Single Motor Brackets with Covers""))),1,"""")"
CO,40mm Motor Bracket Black,"=IF(AND('Job Sheet'!BE11=""Black"",(OR(Bagging!D11=""Single Motor Brackets"",Bagging!D11=""Single Motor Brackets with Covers""))),1,"""")"
CP,55mm Motor Bracket White,"=IF(AND('Job Sheet'!BE11=""White"",(OR(Bagging!D11=""Single Motor Extension Brackets"",Bagging!D11=""Single Motor Extension Brackets with Extension Covers""))),1,"""")"
CQ,55mm Motor Bracket Black,"=IF(AND('Job Sheet'!BE11=""Black"",(OR(Bagging!D11=""Single Motor Extension Brackets"",Bagging!D11=""Single Motor Extension Brackets with Extension Covers""))),1,"""")"
CR,40mm Bracket Cover White,"=IF(AND('Job Sheet'!BE11=""White"",OR(Bagging!D11=""Single with Covers"",Bagging!D11=""Single Motor Brackets with Covers"")),1,"""")"
CS,40mm Bracket Cover Black,"=IF(AND('Job Sheet'!BE11=""Black"",OR(Bagging!D11=""Single with Covers"",Bagging!D11=""Single Motor Brackets with Covers"")),1,"""")"
CT,40mm Bracket Cover Birch White,"=IF(AND('Job Sheet'!BE11=""Birch White"",OR(Bagging!D11=""Single with Covers"",Bagging!D11=""Single Motor Brackets with Covers"")),1,"""")"
CU,40mm Bracket Cover Grey,"=IF(AND('Job Sheet'!BE11=""Grey"",OR(Bagging!D11=""Single with Covers"",Bagging!D11=""Single Motor Brackets with Covers"")),1,"""")"
CV,40mm Bracket Cover Beige,"=IF(AND('Job Sheet'!BE11=""Beige"",OR(Bagging!D11=""Single with Covers"",Bagging!D11=""Single Motor Brackets with Covers"")),1,"""")"
CW,55mm Bracket Cover White,"=IF(AND('Job Sheet'!BE11=""White"",OR(Bagging!D11=""Single Extension with Extension Covers"",Bagging!D11=""Single Motor Extension Brackets with Extension Covers"",Bagging!D11=""Single Extension with Extension Covers & Single Extension Linked"")),1,"""")"
CX,55mm Bracket Cover Black,"=IF(AND('Job Sheet'!BE11=""Black"",OR(Bagging!D11=""Single Extension with Extension Covers"",Bagging!D11=""Single Motor Extension Brackets with Extension Covers"",Bagging!D11=""Single Extension with Extension Covers & Single Extension Linked"")),1,"""")"
CY,55mm Bracket Cover Birch White,"=IF(AND('Job Sheet'!BE11=""Birch White"",OR(Bagging!D11=""Single Extension with Extension Covers"",Bagging!D11=""Single Motor Extension Brackets with Extension Covers"",Bagging!D11=""Single Extension with Extension Covers & Single Extension Linked"")),1,"""")"
CZ,55mm Bracket Cover Grey,"=IF(AND('Job Sheet'!BE11=""Grey"",OR(Bagging!D11=""Single Extension with Extension Covers"",Bagging!D11=""Single Motor Extension Brackets with Extension Covers"",Bagging!D11=""Single Extension with Extension Covers & Single Extension Linked"")),1,"""")"
DA,55mm Bracket Cover Beige,"=IF(AND('Job Sheet'!BE11=""Beige"",OR(Bagging!D11=""Single Extension with Extension Covers"",Bagging!D11=""Single Motor Extension Brackets with Extension Covers"",Bagging!D11=""Single Extension with Extension Covers & Single Extension Linked"")),1,"""")"
DB,Dual Slimline Opposite Side Bracket White,"=IF(AND(Bagging!D11=""Dual Opposite Side"",'Job Sheet'!BE11=""White""),1,"""")"
DC,Dual Slimline Opposite Side Bracket Black,"=IF(AND(Bagging!D11=""Dual Opposite Side"",'Job Sheet'!BE11=""Black""),1,"""")"
DD,Dual Slimline Opposite Side Bracket Birch White,"=IF(AND(Bagging!D11=""Dual Opposite Side"",'Job Sheet'!BE11=""Birch White""),1,"""")"
DE,Dual Slimline Opposite Side Bracket Grey,"=IF(AND(Bagging!D11=""Dual Opposite Side"",'Job Sheet'!BE11=""Grey""),1,"""")"
DF,Dual Slimline Opposite Side Bracket Beige,"=IF(AND(Bagging!D11=""Dual Opposite Side"",'Job Sheet'!BE11=""Beige""),1,"""")"
DG,Dual Same Side Bracket White,"=IF(AND('Job Sheet'!BE11=""White"",(OR(Bagging!D11=""Dual Same Side"",Bagging!D11=""Dual Same Side & Dual Linked""))),1,"""")"
DH,Dual Same Side Bracket Black,"=IF(AND('Job Sheet'!BE11=""Black"",(OR(Bagging!D11=""Dual Same Side"",Bagging!D11=""Dual Same Side & Dual Linked""))),1,"""")"
DI,Dual Same Side Bracket Birch White,"=IF(AND('Job Sheet'!BE11=""Birch White"",(OR(Bagging!D11=""Dual Same Side"",Bagging!D11=""Dual Same Side & Dual Linked""))),1,"""")"
DJ,Dual Same Side Bracket Grey,"=IF(AND('Job Sheet'!BE11=""Grey"",(OR(Bagging!D11=""Dual Same Side"",Bagging!D11=""Dual Same Side & Dual Linked""))),1,"""")"
DK,Dual Same Side Bracket Beige,"=IF(AND('Job Sheet'!BE11=""Beige"",(OR(Bagging!D11=""Dual Same Side"",Bagging!D11=""Dual Same Side & Dual Linked""))),1,"""")"
DL,Dual Slimline Top Front LHS Bracket White,"=IF(AND('Job Sheet'!BE11=""White"",(OR(Bagging!D11=""Slimline Dual Top Blind Front Roll LHS Control"",Bagging!D11=""Slimline Dual Top Blind Front Roll LHS Control & Dual Slimline Linked Top Blind Front Roll""))),1,"""")"
DM,Dual Slimline Top Front RHS Bracket White,"=IF(AND('Job Sheet'!BE11=""White"",(OR(Bagging!D11=""Slimline Dual Top Blind Front Roll RHS Control"",Bagging!D11=""Slimline Dual Top Blind Front Roll RHS Control & Dual Slimline Linked Top Blind Front Roll""))),1,"""")"
DN,Dual Slimline Top Front LHS Bracket Black,"=IF(AND('Job Sheet'!BE11=""Black"",(OR(Bagging!D11=""Slimline Dual Top Blind Front Roll LHS Control"",Bagging!D11=""Slimline Dual Top Blind Front Roll LHS Control & Dual Slimline Linked Top Blind Front Roll""))),1,"""")"
DO,Dual Slimline Top Front RHS Bracket Black,"=IF(AND('Job Sheet'!BE11=""Black"",(OR(Bagging!D11=""Slimline Dual Top Blind Front Roll RHS Control"",Bagging!D11=""Slimline Dual Top Blind Front Roll RHS Control & Dual Slimline Linked Top Blind Front Roll""))),1,"""")"
